old_path,new_path,topic,channel
"20260402_20260402 - 央行疯狂抛售黄金暴跌20%, 避险作用失效了吗？ 为什么我反而加仓？ 我的黄金投资策略分享 [5AY-4kqKxtg]_MiroFish.md","20260402_20260402 - 央行疯狂抛售黄金暴跌20%, 避险作用失效了吗？ 为什么我反而加仓？ 我的黄金投资策略分享 [5AY-4kqKxtg]_MiroFish_commodities.md",commodities,A Nomad Life自由旅居
"20260407_20260311 - 第一次离导弹这么近： 从中东战火中逃离, 机票2次被取消, 落地大马终于安全了! 从阿联酋逃往马来西亚避战实录 [1Oqn0Qno3FU]_v4_MiroFish.md","20260407_20260311 - 第一次离导弹这么近： 从中东战火中逃离, 机票2次被取消, 落地大马终于安全了! 从阿联酋逃往马来西亚避战实录 [1Oqn0Qno3FU]_v4_MiroFish_financial.md",financial,A Nomad Life自由旅居
20260330_20260330 - 债市倒挂，熊市必来：历史第 8 次应验？回归技术面！[cttvWlQYeFE]_MiroFish.md,20260330_20260330 - 债市倒挂，熊市必来：历史第 8 次应验？回归技术面！[cttvWlQYeFE]_MiroFish_macro_strategy.md,macro_strategy,Andy lee
20260401_20260401 - 反弹还是反转，技术面一目了然。油价不说谎，金股长期逻辑不同。 [yFp5O5_8bMc]_MiroFish.md,20260401_20260401 - 反弹还是反转，技术面一目了然。油价不说谎，金股长期逻辑不同。 [yFp5O5_8bMc]_MiroFish_financial.md,financial,Andy lee
"20260329_20251208 - 英國20年,繁花終落盡,一個時代的縮影 UK After 20 Years： Why I Finally Left@A-Nomad-Life [4jHXo6bbz0o]_MiroFish.md","20260329_20251208 - 英國20年,繁花終落盡,一個時代的縮影 UK After 20 Years： Why I Finally Left@A-Nomad-Life [4jHXo6bbz0o]_MiroFish_travel_nomad.md",travel_nomad,Henry 的慢思考
20260329_20251210 - H200出售给中国是陷阱还是机会？ 为何英伟达是国产芯片的“精神鸦片” [GLa6L05-0Rc]_MiroFish.md,20260329_20251210 - H200出售给中国是陷阱还是机会？ 为何英伟达是国产芯片的“精神鸦片” [GLa6L05-0Rc]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20251218 - 中國複製不了臺灣的 AI 伺服器？還是時間問題？ [jXCbeOTM7tM]_MiroFish.md,20260329_20251218 - 中國複製不了臺灣的 AI 伺服器？還是時間問題？ [jXCbeOTM7tM]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20251222 - 兩岸隔閡全面加深：大陸人已難理解台灣？ [0rLIHAFrDqM]_MiroFish.md,20260329_20251222 - 兩岸隔閡全面加深：大陸人已難理解台灣？ [0rLIHAFrDqM]_MiroFish_travel_nomad.md,travel_nomad,Henry 的慢思考
20260329_20251229 - 🇹🇼台灣最後一晚，機場收到地震警告⚠️每個人都該配置 AI 股票 [qiWOqM4Ufzc]_MiroFish.md,20260329_20251229 - 🇹🇼台灣最後一晚，機場收到地震警告⚠️每個人都該配置 AI 股票 [qiWOqM4Ufzc]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260119 - 歐美內戰開打！中國要成為最大贏家？ [TTfHcRCtZZM]_MiroFish.md,20260329_20260119 - 歐美內戰開打！中國要成為最大贏家？ [TTfHcRCtZZM]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260123 - 🇬🇧🇨🇳中英要聯手了？從「最大威脅」到「超級大使館」：英國三年半的驚天反轉 [Ldqa2Jl-eZ8]_MiroFish.md,20260329_20260123 - 🇬🇧🇨🇳中英要聯手了？從「最大威脅」到「超級大使館」：英國三年半的驚天反轉 [Ldqa2Jl-eZ8]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260125 - 黄金白银还能不能追涨？美股迎来黑头鹅？ [-cGcTBfFzP0]_MiroFish.md,20260329_20260125 - 黄金白银还能不能追涨？美股迎来黑头鹅？ [-cGcTBfFzP0]_MiroFish_financial.md,financial,Henry 的慢思考
20260329_20260127 - 我清仓了2025年涨最多的股票，我买了什么？ [fKkUyDAxjMc]_MiroFish.md,20260329_20260127 - 我清仓了2025年涨最多的股票，我买了什么？ [fKkUyDAxjMc]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260130 - 中國長鑫存儲能否卷死三星和美光 Can China crash the memory market？ [OEf7TNieRY4]_MiroFish.md,20260329_20260130 - 中國長鑫存儲能否卷死三星和美光 Can China crash the memory market？ [OEf7TNieRY4]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260201 - 散户投资进阶的过程 #搞笑 #财商之道 #美股 [mA61u_Eg8ag]_MiroFish.md,20260329_20260201 - 散户投资进阶的过程 #搞笑 #财商之道 #美股 [mA61u_Eg8ag]_MiroFish_financial.md,financial,Henry 的慢思考
20260329_20260201 - 黄金白银恐慌性暴跌!市场机会在哪里 [e2eXLTK13-8]_MiroFish.md,20260329_20260201 - 黄金白银恐慌性暴跌!市场机会在哪里 [e2eXLTK13-8]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260204 - AMD财报全面超预期，为什么还是崩了？ AMD's perfect earning triggered a sell off [iL8IbdhdWhY]_MiroFish.md,20260329_20260204 - AMD财报全面超预期，为什么还是崩了？ AMD's perfect earning triggered a sell off [iL8IbdhdWhY]_MiroFish_financial.md,financial,Henry 的慢思考
20260329_20260206 - Amazon 2000亿美元的股市震撼弹｜我的布局 Amazon's 200 Billion Bombshell shocked the market [KaMxAJVcdZQ]_MiroFish.md,20260329_20260206 - Amazon 2000亿美元的股市震撼弹｜我的布局 Amazon's 200 Billion Bombshell shocked the market [KaMxAJVcdZQ]_MiroFish_financial.md,financial,Henry 的慢思考
"20260329_20260208 - 牛市来了,还是陷阱？Stock market at an inflection point [8FG_1es_GkY]_MiroFish.md","20260329_20260208 - 牛市来了,还是陷阱？Stock market at an inflection point [8FG_1es_GkY]_MiroFish_financial.md",financial,Henry 的慢思考
20260329_20260210 - 美光股价崩盘15% Micron share price crashed 15% #美股#micron [K16p8aJfJUM]_MiroFish.md,20260329_20260210 - 美光股价崩盘15% Micron share price crashed 15% #美股#micron [K16p8aJfJUM]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260211 - 如何投资SpaceX这场资本的狂欢 [WZoVmOmfFC4]_MiroFish.md,20260329_20260211 - 如何投资SpaceX这场资本的狂欢 [WZoVmOmfFC4]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260215 - 股市看不见的风险｜我减持了Google｜第一次核心圈会员聊天 [PdJEZcRV-UY]_MiroFish.md,20260329_20260215 - 股市看不见的风险｜我减持了Google｜第一次核心圈会员聊天 [PdJEZcRV-UY]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260217 - 史诗级的short squeeze要来了？ #美股#抄底 [j08V-mkuWPk]_MiroFish.md,20260329_20260217 - 史诗级的short squeeze要来了？ #美股#抄底 [j08V-mkuWPk]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260218 - 5周暴涨320%！被制裁的中国AI登顶全球第一｜硬件套利将颠覆万亿美元生态 [rN7nlAjfZDM]_MiroFish.md,20260329_20260218 - 5周暴涨320%！被制裁的中国AI登顶全球第一｜硬件套利将颠覆万亿美元生态 [rN7nlAjfZDM]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260219 - 美国打伊朗｜股市风险暴增#美股 [PnrvQL2T_ck]_MiroFish.md,20260329_20260219 - 美国打伊朗｜股市风险暴增#美股 [PnrvQL2T_ck]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260220 - 我给观众的投资建议｜学会独立思考不要盲目跟风 [Krt981w3x4o]_MiroFish.md,20260329_20260220 - 我给观众的投资建议｜学会独立思考不要盲目跟风 [Krt981w3x4o]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260223 - 股市过山车｜特斯拉我们怎么看｜股票被套牢是割肉还是等待 [ir2NMBmH4yM]_MiroFish.md,20260329_20260223 - 股市过山车｜特斯拉我们怎么看｜股票被套牢是割肉还是等待 [ir2NMBmH4yM]_MiroFish_financial.md,financial,Henry 的慢思考
20260329_20260225 - Nvidia是好公司，但我不投资它 Why I am not investing in Nvidia？ [_lyWqelvhIc]_MiroFish.md,20260329_20260225 - Nvidia是好公司，但我不投资它 Why I am not investing in Nvidia？ [_lyWqelvhIc]_MiroFish_financial.md,financial,Henry 的慢思考
"20260329_20260227 - 知识经济雪崩，我抄底了这3支股票｜Global Intelligence Crisis, What are the investment opportunities？ [tZ3TbJqvG4w]_MiroFish.md","20260329_20260227 - 知识经济雪崩，我抄底了这3支股票｜Global Intelligence Crisis, What are the investment opportunities？ [tZ3TbJqvG4w]_MiroFish_macro_strategy.md",macro_strategy,Henry 的慢思考
"20260329_20260301 - 牛市末期，股市风险激增，我2月的投资布局｜Stock market is in late stage bull market, risks are surging [YKeVu9SlqFE]_MiroFish.md","20260329_20260301 - 牛市末期，股市风险激增，我2月的投资布局｜Stock market is in late stage bull market, risks are surging [YKeVu9SlqFE]_MiroFish_financial.md",financial,Henry 的慢思考
20260329_20260304 - 霍尔木兹一封，全球AI停摆？华尔街没算到的致命死角 [B6Sw8KXVX44]_MiroFish.md,20260329_20260304 - 霍尔木兹一封，全球AI停摆？华尔街没算到的致命死角 [B6Sw8KXVX44]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260329_20260309 - 伊朗危机的全球骨牌效应，我三星亏了多少钱？｜Iran crisis is crashing global stock market [EDIfXvPDO3Y]_MiroFish.md,20260329_20260309 - 伊朗危机的全球骨牌效应，我三星亏了多少钱？｜Iran crisis is crashing global stock market [EDIfXvPDO3Y]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
"20260329_20260311 - 川普Taco,股市暴涨｜伊朗危机解除还是牛市陷阱 [1ZsjCdluO6c]_MiroFish.md","20260329_20260311 - 川普Taco,股市暴涨｜伊朗危机解除还是牛市陷阱 [1ZsjCdluO6c]_MiroFish_war_conflict.md",war_conflict,Henry 的慢思考
20260329_20260316 - 伊朗危机全面失控!｜我经历的 2022 年的科技寒冬 [K3lX4GFwaTU]_MiroFish.md,20260329_20260316 - 伊朗危机全面失控!｜我经历的 2022 年的科技寒冬 [K3lX4GFwaTU]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260329_20260316 - 在中国实现全屋科学上网 [EBd39nyYBro]_MiroFish.md,20260329_20260316 - 在中国实现全屋科学上网 [EBd39nyYBro]_MiroFish_financial.md,financial,Henry 的慢思考
"20260329_20260320 - 石油破 200？我的投资布局 Iran war escalating out of control, what are the investment opportunities？ [d_915ixxbzQ]_MiroFish.md","20260329_20260320 - 石油破 200？我的投资布局 Iran war escalating out of control, what are the investment opportunities？ [d_915ixxbzQ]_MiroFish_war_conflict.md",war_conflict,Henry 的慢思考
20260329_20260322 - 深夜上海加油站都是车排起长队加油#伊朗戰爭 #美股 [c_UCs-WgiKA]_MiroFish.md,20260329_20260322 - 深夜上海加油站都是车排起长队加油#伊朗戰爭 #美股 [c_UCs-WgiKA]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260329_20260323 - 股市黑色星期五：股票黄金美债同时崩跌，我的投资策略 [zQXQ5-pPpzU]_MiroFish.md,20260329_20260323 - 股市黑色星期五：股票黄金美债同时崩跌，我的投资策略 [zQXQ5-pPpzU]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260329_20260325 - AI无人驾驶的投资机会在哪里｜Where are the investment opportunities in autonomous driving？ [NXLyXj457tc]_MiroFish.md,20260329_20260325 - AI无人驾驶的投资机会在哪里｜Where are the investment opportunities in autonomous driving？ [NXLyXj457tc]_MiroFish_technology.md,technology,Henry 的慢思考
20260329_20260328 - AI估值毁灭! 没人准备好的超级板块轮动 The Great AI Rotation [YA8I6JWSPk4]_MiroFish.md,20260329_20260328 - AI估值毁灭! 没人准备好的超级板块轮动 The Great AI Rotation [YA8I6JWSPk4]_MiroFish_commodities.md,commodities,Henry 的慢思考
20260330_20260330 - 美国政府触发斩杀线 | 股市拐点将至 Market at inflection point [XvW_3cYwKGE]_MiroFish.md,20260330_20260330 - 美国政府触发斩杀线 | 股市拐点将至 Market at inflection point [XvW_3cYwKGE]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260405_20260402 - 股市2万亿蒸发后，华尔街的钱去哪了？ [kLqSV2k60lc]_MiroFish.md,20260405_20260402 - 股市2万亿蒸发后，华尔街的钱去哪了？ [kLqSV2k60lc]_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260407_20260406_美股绝地反弹_后AI投资布局 [FIu_7lOMm0U]_v4_MiroFish.md,20260407_20260406_美股绝地反弹_后AI投资布局 [FIu_7lOMm0U]_v4_MiroFish_financial.md,financial,Henry 的慢思考
20260408_20260408 - 投资AI数据中心电力超级周期 [jUJwgfrfZXY]_v4_MiroFish.md,20260408_20260408 - 投资AI数据中心电力超级周期 [jUJwgfrfZXY]_v4_MiroFish_technology.md,technology,Henry 的慢思考
20260411_20260410 - 后石油美元时代和全球军备竞赛｜新的投资标地 [3DrqEUtm7rs]_v4_MiroFish.md,20260411_20260410 - 后石油美元时代和全球军备竞赛｜新的投资标地 [3DrqEUtm7rs]_v4_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260411_20260411 - Anthropic受益股 算力基础设施投资逻辑 [v4_MiroFish].md,20260411_20260411 - Anthropic受益股 算力基础设施投资逻辑 [v4_MiroFish]_financial.md,financial,Henry 的慢思考
20260411_PLTR暴跌_Anthropic竞争分析 [v4_MiroFish].md,20260411_PLTR暴跌_Anthropic竞争分析 [v4_MiroFish]_financial.md,financial,Henry 的慢思考
20260411_伊朗10点停火方案_Henry持仓分析_v4_MiroFish.md,20260411_伊朗10点停火方案_Henry持仓分析_v4_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260412_华尔街创13年最快抛售纪录_聪明钱底牌曝光_v4_MiroFish.md,20260412_华尔街创13年最快抛售纪录_聪明钱底牌曝光_v4_MiroFish_macro_strategy.md,macro_strategy,Henry 的慢思考
20260415_聪明钱全面翻多！贝莱德高呼风险解除，华尔街集体押注三大超级风口_v4_MiroFish.md,20260415_聪明钱全面翻多！贝莱德高呼风险解除，华尔街集体押注三大超级风口_v4_MiroFish_war_conflict.md,war_conflict,Henry 的慢思考
20260331_20260330 - 大摩建议抄底美股切勿着急，手留现金耐心等待；国内物价上涨不具有可持续性，走出通缩需配合民生政策 [zQiuiIKIzEM]_MiroFish.md,20260331_20260330 - 大摩建议抄底美股切勿着急，手留现金耐心等待；国内物价上涨不具有可持续性，走出通缩需配合民生政策 [zQiuiIKIzEM]_MiroFish_macro_strategy.md,macro_strategy,Little yellow egg
20260331_20260331 - 大摩研判国内救市政策目标，不会再走炒房老路了；允许房价有序下跌；身临其境感受下惠州高空置率海景房 [IwhAaKB9TiU]_MiroFish.md,20260331_20260331 - 大摩研判国内救市政策目标，不会再走炒房老路了；允许房价有序下跌；身临其境感受下惠州高空置率海景房 [IwhAaKB9TiU]_MiroFish_real_estate.md,real_estate,Little yellow egg
20260329_20260222 - 上海房价大变天？二手房老破小毫无反弹可能，刀哥依旧看跌的底层逻辑拆解 ｜ 资产重估 ｜ 周期拐点 ｜ 中产焦虑 ｜ 流动陷阱 ｜ 价值回归 ｜二手老破小大跌 ｜新房依旧涨 [Ntpyhy2vcq4]_MiroFish.md,20260329_20260222 - 上海房价大变天？二手房老破小毫无反弹可能，刀哥依旧看跌的底层逻辑拆解 ｜ 资产重估 ｜ 周期拐点 ｜ 中产焦虑 ｜ 流动陷阱 ｜ 价值回归 ｜二手老破小大跌 ｜新房依旧涨 [Ntpyhy2vcq4]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260222 - 上海房价还要大跌？刀哥和女观众的激烈讨论 ｜徐汇二手房｜抄底｜小阳春｜上海房地产｜刚需入场｜还会跌吗？ [T5DOqt9kGL4]_MiroFish.md,20260329_20260222 - 上海房价还要大跌？刀哥和女观众的激烈讨论 ｜徐汇二手房｜抄底｜小阳春｜上海房地产｜刚需入场｜还会跌吗？ [T5DOqt9kGL4]_MiroFish_real_estate.md,real_estate,This is Mr. Dao
20260329_20260223 - 当东大经济下行后，上海优质的男性都去哪了？最容貌焦虑的两类人：男性底层和女性有钱族群｜阶层撕裂｜婚恋博弈｜财富重估｜情绪溢价｜身份错位 [gVr4n_xOnNw]_MiroFish.md,20260329_20260223 - 当东大经济下行后，上海优质的男性都去哪了？最容貌焦虑的两类人：男性底层和女性有钱族群｜阶层撕裂｜婚恋博弈｜财富重估｜情绪溢价｜身份错位 [gVr4n_xOnNw]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260224 - 上海网友都看不下去了，每天狂送70单外卖4周收入近4万元？95后夫妻春节加班赚钱值得提倡吗？阶层撕裂｜流量叙事｜幸存偏差｜情绪对冲｜价值冲突｜上海刀哥 [3CmH6ARlWx8]_MiroFish.md,20260329_20260224 - 上海网友都看不下去了，每天狂送70单外卖4周收入近4万元？95后夫妻春节加班赚钱值得提倡吗？阶层撕裂｜流量叙事｜幸存偏差｜情绪对冲｜价值冲突｜上海刀哥 [3CmH6ARlWx8]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260226 - 移民别选日本，很多上海人后悔想二润：你以为的自由，其实是更贵的牢笼｜现金流断｜社交归零｜制度摩擦｜打工真相｜认知崩塌 [HIlqWEoL87w]_MiroFish.md,20260329_20260226 - 移民别选日本，很多上海人后悔想二润：你以为的自由，其实是更贵的牢笼｜现金流断｜社交归零｜制度摩擦｜打工真相｜认知崩塌 [HIlqWEoL87w]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260226 - 😱6周裁员3万人只是开始：今年所有人做好冲击准备，大失业大萧条正在发生，上海人如何应对？｜社保兜底｜情绪管理｜收入结构｜城市选择｜生存清单 [LHakxk81knI]_MiroFish.md,20260329_20260226 - 😱6周裁员3万人只是开始：今年所有人做好冲击准备，大失业大萧条正在发生，上海人如何应对？｜社保兜底｜情绪管理｜收入结构｜城市选择｜生存清单 [LHakxk81knI]_MiroFish_social_observation.md,social_observation,This is Mr. Dao
20260329_20260227 - 😰随时做好冲击准备：裁员加速“一天4000人”，今年就业率要崩？Block｜openclaw｜经济拐点｜岗位蒸发｜薪资倒挂｜行业洗牌｜底层预警 [kxcD-tOPm5s]_MiroFish.md,20260329_20260227 - 😰随时做好冲击准备：裁员加速“一天4000人”，今年就业率要崩？Block｜openclaw｜经济拐点｜岗位蒸发｜薪资倒挂｜行业洗牌｜底层预警 [kxcD-tOPm5s]_MiroFish_social_observation.md,social_observation,This is Mr. Dao
20260329_20260228 - 前观察者网马督工上海被捕，自媒体这碗饭难吃的很，另外还聊了上海房地产，伊朗局势黄金-刀哥直播 [D8bjvYJpJOU]_MiroFish.md,20260329_20260228 - 前观察者网马督工上海被捕，自媒体这碗饭难吃的很，另外还聊了上海房地产，伊朗局势黄金-刀哥直播 [D8bjvYJpJOU]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260305 - 上海人为何越来越苦😱火车上外放手机把很多看破防了｜秩序幻觉｜镜像对照｜集体共识｜社交成本｜这素质怎么比？ [T3jLPqqIMuM]_MiroFish.md,20260329_20260305 - 上海人为何越来越苦😱火车上外放手机把很多看破防了｜秩序幻觉｜镜像对照｜集体共识｜社交成本｜这素质怎么比？ [T3jLPqqIMuM]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260307 - 2026大裁员确定！今天腾讯也忍不住，10个最容易被裁员的岗位，openclaw龙虾的威力有多大日本大裁员已经开始 [CLaNnZ8sDZo]_MiroFish.md,20260329_20260307 - 2026大裁员确定！今天腾讯也忍不住，10个最容易被裁员的岗位，openclaw龙虾的威力有多大日本大裁员已经开始 [CLaNnZ8sDZo]_MiroFish_social_observation.md,social_observation,This is Mr. Dao
20260329_20260311 - 可悲！上海年轻人面对最大的代际剥削，民粹基本盘掀桌子了，真的每个时代都有机会吗？ ｜ 房价地产｜社会观察｜现实困境｜城市发展｜发展瓶颈 [3_AO2F4A6x4]_MiroFish.md,20260329_20260311 - 可悲！上海年轻人面对最大的代际剥削，民粹基本盘掀桌子了，真的每个时代都有机会吗？ ｜ 房价地产｜社会观察｜现实困境｜城市发展｜发展瓶颈 [3_AO2F4A6x4]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260312 - 上海地铁站有人点燃随身衣物，家庭消费现状一年不如一年。｜城市焦虑｜生活重压｜情绪出口｜经济寒意｜阶层变化｜生存困境｜负担加重 [cCZFBFlZwPA]_MiroFish.md,20260329_20260312 - 上海地铁站有人点燃随身衣物，家庭消费现状一年不如一年。｜城市焦虑｜生活重压｜情绪出口｜经济寒意｜阶层变化｜生存困境｜负担加重 [cCZFBFlZwPA]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260314 - ⚡刀哥劝上海男人别再幻想女友洗衣做饭：上海女人的野心，厨房根本装不下 ｜ 上海人 ｜ 阶级跨越 ｜ 独立女性 ｜ [Lv_cQmkViO4]_MiroFish.md,20260329_20260314 - ⚡刀哥劝上海男人别再幻想女友洗衣做饭：上海女人的野心，厨房根本装不下 ｜ 上海人 ｜ 阶级跨越 ｜ 独立女性 ｜ [Lv_cQmkViO4]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260314 - 中国企业家可悲现状：胖东来走不出河南的成功之迷终于解开了，于东来40亿分配背后的真相｜ 商业模式 ｜ 60岁退休 ｜ 商业内幕 ｜ 上海中产 ｜ 财富分配 ｜ 共同富裕 [jGDapDQ7L4E]_MiroFish.md,20260329_20260314 - 中国企业家可悲现状：胖东来走不出河南的成功之迷终于解开了，于东来40亿分配背后的真相｜ 商业模式 ｜ 60岁退休 ｜ 商业内幕 ｜ 上海中产 ｜ 财富分配 ｜ 共同富裕 [jGDapDQ7L4E]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260314 - 最苦透苦透的一位观众，上海买到烂尾楼，断供，保交楼，最后又离谱的解决办法！一位观众不堪回首的经历｜上海人｜上海房地产｜买房经验 [1iK-IpQ50Xk]_MiroFish.md,20260329_20260314 - 最苦透苦透的一位观众，上海买到烂尾楼，断供，保交楼，最后又离谱的解决办法！一位观众不堪回首的经历｜上海人｜上海房地产｜买房经验 [1iK-IpQ50Xk]_MiroFish_real_estate.md,real_estate,This is Mr. Dao
